Epoch 129 [constrained] | Target: 0.20 | Ethical cost: 3.2138 | H: 0.530
Epoch 130 [constrained] | Target: 0.30 | Ethical cost: 5.0589 | H: 0.556
Epoch 131 [constrained] | Target: 0.70 | Ethical cost: 1.5802 | H: 0.613
Epoch 132 [constrained] | Target: 0.00 | Ethical cost: 4.3019 | H: 0.574
Epoch 133 [constrained] | Target: 0.60 | Ethical cost: 2.2202 | H: 0.457
Epoch 134 [constrained] | Target: 0.10 | Ethical cost: 6.4219 | H: 0.528
Epoch 135 [constrained] | Target: 0.50 | Ethical cost: 1.9275 | H: 0.577
Epoch 136 [constrained] | Target: 0.10 | Ethical cost: 2.7507 | H: 0.505
Epoch 137 [constrained] | Target: 0.30 | Ethical cost: 3.7792 | H: 0.561
Epoch 138 [constrained] | Target: 0.20 | Ethical cost: 5.8318 | H: 0.563
Epoch 139 [constrained] | Target: 0.00 | Ethical cost: 4.6851 | H: 0.574
Epoch 140 [constrained] | Target: 0.00 | Ethical cost: 5.7492 | H: 0.593
Epoch 141 [constrained] | Target: 0.00 | Ethical cost: 7.4671 | H: 0.591
Epoch 142 [constrained] | Target: 0.00 | Ethical cost: 6.1901 | H: 0.620
Epoch 143 [constrained] | Target: 0.00 | Ethical cost: 5.7907 | H: 0.585
Epoch 144 [constrained] | Target: 0.00 | Ethical cost: 2.6606 | H: 0.546
Epoch 145 [constrained] | Target: 0.20 | Ethical cost: 4.4847 | H: 0.583
Epoch 146 [constrained] | Target: 0.50 | Ethical cost: 1.2659 | H: 0.520
Epoch 147 [constrained] | Target: 0.10 | Ethical cost: 4.5990 | H: 0.609
Epoch 148 [constrained] | Target: 0.10 | Ethical cost: 2.2803 | H: 0.520
Epoch 149 [constrained] | Target: 0.10 | Ethical cost: 3.2013 | H: 0.587
Epoch 150 [constrained] | Target: 0.00 | Ethical cost: 1.7711 | H: 0.541
Epoch 151 [constrained] | Target: 0.10 | Ethical cost: 3.5476 | H: 0.561
Epoch 152 [constrained] | Target: 0.00 | Ethical cost: 1.9788 | H: 0.491
Epoch 153 [constrained] | Target: 0.10 | Ethical cost: 2.4982 | H: 0.550
Epoch 154 [constrained] | Target: 0.00 | Ethical cost: 3.6913 | H: 0.573
Epoch 155 [constrained] | Target: 0.00 | Ethical cost: 2.8885 | H: 0.490
Epoch 156 [constrained] | Target: 0.00 | Ethical cost: 2.6364 | H: 0.529
Epoch 157 [constrained] | Target: 0.20 | Ethical cost: 1.8264 | H: 0.477
Epoch 158 [constrained] | Target: 0.90 | Ethical cost: 0.4082 | H: 0.542
Epoch 159 [constrained] | Target: 0.90 | Ethical cost: 0.6547 | H: 0.575
Epoch 160 [constrained] | Target: 0.00 | Ethical cost: 3.3421 | H: 0.576
