Epoch 236 [unconstrained] | Target: 0.70 | H: 1.023
Epoch 237 [unconstrained] | Target: 0.00 | H: 1.016
Epoch 238 [unconstrained] | Target: 0.00 | H: 1.023
Epoch 239 [unconstrained] | Target: 0.20 | H: 1.022
Epoch 240 [unconstrained] | Target: 0.00 | H: 1.036
Epoch 241 [unconstrained] | Target: 0.00 | H: 1.020
Epoch 242 [unconstrained] | Target: 0.00 | H: 1.012
Epoch 243 [unconstrained] | Target: 0.10 | H: 1.034
Epoch 244 [unconstrained] | Target: 0.00 | H: 1.018
Epoch 245 [unconstrained] | Target: 0.20 | H: 1.014
Epoch 246 [unconstrained] | Target: 0.00 | H: 1.003
Epoch 247 [unconstrained] | Target: 0.00 | H: 1.001
Epoch 248 [unconstrained] | Target: 0.70 | H: 1.006
Epoch 249 [unconstrained] | Target: 0.10 | H: 1.000
Epoch 250 [unconstrained] | Target: 0.40 | H: 1.005
Epoch 251 [unconstrained] | Target: 0.10 | H: 0.990
Epoch 252 [unconstrained] | Target: 0.00 | H: 1.002
Epoch 253 [unconstrained] | Target: 0.00 | H: 1.003
Epoch 254 [unconstrained] | Target: 0.80 | H: 0.999
Epoch 255 [unconstrained] | Target: 0.40 | H: 1.000
Epoch 256 [unconstrained] | Target: 0.20 | H: 1.001
Epoch 257 [unconstrained] | Target: 0.40 | H: 1.007
Epoch 258 [unconstrained] | Target: 0.40 | H: 0.999
Epoch 259 [unconstrained] | Target: 0.00 | H: 0.992
Epoch 260 [unconstrained] | Target: 0.20 | H: 0.991
Epoch 261 [unconstrained] | Target: 0.60 | H: 0.991
Epoch 262 [unconstrained] | Target: 0.20 | H: 0.977
Epoch 263 [unconstrained] | Target: 0.20 | H: 0.999
Epoch 264 [unconstrained] | Target: 0.00 | H: 0.985
Epoch 265 [unconstrained] | Target: 0.00 | H: 1.002
Epoch 266 [unconstrained] | Target: 0.00 | H: 0.996
Epoch 267 [unconstrained] | Target: 0.50 | H: 0.988
Epoch 268 [unconstrained] | Target: 0.00 | H: 0.994
Epoch 269 [unconstrained] | Target: 0.00 | H: 1.003
Epoch 270 [unconstrained] | Target: 0.40 | H: 1.000
Epoch 271 [unconstrained] | Target: 0.30 | H: 1.000
Epoch 272 [unconstrained] | Target: 0.00 | H: 0.980
Epoch 273 [unconstrained] | Target: 0.00 | H: 0.989
Epoch 274 [unconstrained] | Target: 0.40 | H: 0.994
Epoch 275 [unconstrained] | Target: 0.30 | H: 0.996
Epoch 276 [unconstrained] | Target: 0.00 | H: 1.002
Epoch 277 [unconstrained] | Target: 0.30 | H: 1.003
Epoch 278 [unconstrained] | Target: 0.00 | H: 1.004
Epoch 279 [unconstrained] | Target: 0.30 | H: 1.001
Epoch 280 [unconstrained] | Target: 0.20 | H: 1.008
Epoch 281 [unconstrained] | Target: 0.00 | H: 1.010
Epoch 282 [unconstrained] | Target: 0.00 | H: 1.005
Epoch 283 [unconstrained] | Target: 0.00 | H: 1.005
Epoch 284 [unconstrained] | Target: 0.10 | H: 1.013
Epoch 285 [unconstrained] | Target: 0.50 | H: 1.009
Epoch 286 [unconstrained] | Target: 0.00 | H: 1.011
Epoch 287 [unconstrained] | Target: 0.20 | H: 1.007
Epoch 288 [unconstrained] | Target: 0.00 | H: 1.012
Epoch 289 [unconstrained] | Target: 0.10 | H: 1.014
Epoch 290 [unconstrained] | Target: 0.00 | H: 1.027
Epoch 291 [unconstrained] | Target: 0.00 | H: 1.025
Epoch 292 [unconstrained] | Target: 0.20 | H: 1.030
Epoch 293 [unconstrained] | Target: 0.00 | H: 1.018
Epoch 294 [unconstrained] | Target: 0.10 | H: 1.022
Epoch 295 [unconstrained] | Target: 0.40 | H: 1.008
Epoch 296 [unconstrained] | Target: 0.00 | H: 1.023
Epoch 297 [unconstrained] | Target: 0.00 | H: 1.029
Epoch 298 [unconstrained] | Target: 0.10 | H: 1.010
Epoch 299 [unconstrained] | Target: 0.20 | H: 1.017
Epoch 300 [unconstrained] | Target: 0.10 | H: 1.023
Epoch 301 [unconstrained] | Target: 0.50 | H: 1.015
Epoch 302 [unconstrained] | Target: 0.60 | H: 1.017
Epoch 303 [unconstrained] | Target: 0.00 | H: 1.024
Epoch 304 [unconstrained] | Target: 0.20 | H: 1.025
Epoch 305 [unconstrained] | Target: 0.10 | H: 1.026
Epoch 306 [unconstrained] | Target: 0.00 | H: 1.026
Epoch 307 [unconstrained] | Target: 0.10 | H: 1.045
Epoch 308 [unconstrained] | Target: 0.20 | H: 1.048
Epoch 309 [unconstrained] | Target: 0.20 | H: 1.030
Epoch 310 [unconstrained] | Target: 0.00 | H: 1.027
Epoch 311 [unconstrained] | Target: 0.00 | H: 1.051
Epoch 312 [unconstrained] | Target: 0.10 | H: 1.045
Epoch 313 [unconstrained] | Target: 0.70 | H: 1.037
Epoch 314 [unconstrained] | Target: 0.40 | H: 1.043
Epoch 315 [unconstrained] | Target: 0.40 | H: 1.046
Epoch 316 [unconstrained] | Target: 0.00 | H: 1.049
Epoch 317 [unconstrained] | Target: 0.10 | H: 1.048
Epoch 318 [unconstrained] | Target: 0.00 | H: 1.042
Epoch 319 [unconstrained] | Target: 0.20 | H: 1.035
Epoch 320 [unconstrained] | Target: 0.60 | H: 1.046
