Epoch 129 [constrained] | Target: 0.00 | Ethical cost: 42.6216 | H: 0.983
Epoch 130 [constrained] | Target: 0.00 | Ethical cost: 35.2326 | H: 0.975
Epoch 131 [constrained] | Target: 0.70 | Ethical cost: 23.5134 | H: 1.026
Epoch 132 [constrained] | Target: 0.10 | Ethical cost: 46.6140 | H: 1.008
Epoch 133 [constrained] | Target: 0.70 | Ethical cost: 24.3194 | H: 0.988
Epoch 134 [constrained] | Target: 0.00 | Ethical cost: 56.2387 | H: 1.005
Epoch 135 [constrained] | Target: 0.10 | Ethical cost: 40.4172 | H: 0.999
Epoch 136 [constrained] | Target: 0.80 | Ethical cost: 10.6084 | H: 0.965
Epoch 137 [constrained] | Target: 0.00 | Ethical cost: 39.3050 | H: 0.946
Epoch 138 [constrained] | Target: 0.10 | Ethical cost: 24.9778 | H: 0.939
Epoch 139 [constrained] | Target: 0.20 | Ethical cost: 24.1434 | H: 0.924
Epoch 140 [constrained] | Target: 0.10 | Ethical cost: 26.7099 | H: 0.913
Epoch 141 [constrained] | Target: 0.00 | Ethical cost: 35.8003 | H: 0.929
Epoch 142 [constrained] | Target: 0.00 | Ethical cost: 36.7830 | H: 0.917
Epoch 143 [constrained] | Target: 0.00 | Ethical cost: 38.3001 | H: 0.889
Epoch 144 [constrained] | Target: 0.30 | Ethical cost: 28.3988 | H: 0.875
Epoch 145 [constrained] | Target: 0.00 | Ethical cost: 39.5662 | H: 0.896
Epoch 146 [constrained] | Target: 0.00 | Ethical cost: 52.9995 | H: 0.886
Epoch 147 [constrained] | Target: 0.00 | Ethical cost: 51.4536 | H: 0.885
Epoch 148 [constrained] | Target: 0.00 | Ethical cost: 50.1293 | H: 0.879
Epoch 149 [constrained] | Target: 0.30 | Ethical cost: 32.8572 | H: 0.860
Epoch 150 [constrained] | Target: 0.00 | Ethical cost: 38.6973 | H: 0.844
Epoch 151 [constrained] | Target: 0.00 | Ethical cost: 39.4592 | H: 0.830
Epoch 152 [constrained] | Target: 0.70 | Ethical cost: 17.0630 | H: 0.792
Epoch 153 [constrained] | Target: 0.10 | Ethical cost: 35.9315 | H: 0.822
Epoch 154 [constrained] | Target: 0.00 | Ethical cost: 47.5399 | H: 0.859
